date,temperature_c,wind_speed_ms,solar_wm2
2023-11-30 00:00:00+00:00,-5.4,11.2,0.0
2023-11-30 01:00:00+00:00,-6.1,10.4,0.0
2023-11-30 02:00:00+00:00,-6.0,10.4,0.0
2023-11-30 03:00:00+00:00,-5.7,10.1,0.0
2023-11-30 04:00:00+00:00,-5.4,9.5,0.0
2023-11-30 05:00:00+00:00,-3.8,9.7,0.0
2023-11-30 06:00:00+00:00,-3.0,8.9,0.0
2023-11-30 07:00:00+00:00,-3.1,8.3,7.0
2023-11-30 08:00:00+00:00,-1.9,12.2,74.0
2023-11-30 09:00:00+00:00,0.1,13.7,120.0
2023-11-30 10:00:00+00:00,0.9,12.7,195.0
2023-11-30 11:00:00+00:00,1.4,13.7,236.0
2023-11-30 12:00:00+00:00,1.5,13.8,186.0
2023-11-30 13:00:00+00:00,0.5,11.2,79.0
2023-11-30 14:00:00+00:00,-0.8,7.3,48.0
2023-11-30 15:00:00+00:00,-3.0,6.8,3.0
2023-11-30 16:00:00+00:00,-4.1,7.2,0.0
2023-11-30 17:00:00+00:00,-3.4,6.8,0.0
2023-11-30 18:00:00+00:00,-2.2,6.3,0.0
2023-11-30 19:00:00+00:00,-2.0,5.1,0.0
2023-11-30 20:00:00+00:00,-3.0,5.4,0.0
2023-11-30 21:00:00+00:00,-3.7,5.4,0.0
2023-11-30 22:00:00+00:00,-3.9,5.8,0.0
2023-11-30 23:00:00+00:00,-4.4,5.1,0.0
2023-12-01 00:00:00+00:00,-4.8,6.8,0.0
2023-12-01 01:00:00+00:00,-3.8,6.0,0.0
2023-12-01 02:00:00+00:00,-5.3,5.4,0.0
2023-12-01 03:00:00+00:00,-6.3,6.1,0.0
2023-12-01 04:00:00+00:00,-6.5,2.9,0.0
2023-12-01 05:00:00+00:00,-6.7,5.5,0.0
2023-12-01 06:00:00+00:00,-7.0,6.5,0.0
2023-12-01 07:00:00+00:00,-7.1,7.3,7.0
2023-12-01 08:00:00+00:00,-6.1,6.5,64.0
2023-12-01 09:00:00+00:00,-5.0,5.2,101.0
2023-12-01 10:00:00+00:00,-3.5,7.6,177.0
2023-12-01 11:00:00+00:00,-2.4,6.6,202.0
2023-12-01 12:00:00+00:00,-1.9,8.5,186.0
2023-12-01 13:00:00+00:00,-4.5,8.3,89.0
2023-12-01 14:00:00+00:00,-4.9,6.5,35.0
2023-12-01 15:00:00+00:00,-5.2,5.4,2.0
2023-12-01 16:00:00+00:00,-4.8,6.1,0.0
2023-12-01 17:00:00+00:00,-4.6,7.4,0.0
2023-12-01 18:00:00+00:00,-4.5,7.6,0.0
2023-12-01 19:00:00+00:00,-4.5,6.2,0.0
2023-12-01 20:00:00+00:00,-4.4,5.8,0.0
2023-12-01 21:00:00+00:00,-4.4,4.3,0.0
2023-12-01 22:00:00+00:00,-4.4,2.7,0.0
2023-12-01 23:00:00+00:00,-4.3,2.6,0.0
2023-12-02 00:00:00+00:00,-4.2,2.1,0.0
2023-12-02 01:00:00+00:00,-4.4,3.1,0.0
2023-12-02 02:00:00+00:00,-4.5,4.5,0.0
2023-12-02 03:00:00+00:00,-4.6,4.6,0.0
2023-12-02 04:00:00+00:00,-4.5,2.3,0.0
2023-12-02 05:00:00+00:00,-4.3,3.0,0.0
2023-12-02 06:00:00+00:00,-4.1,4.6,0.0
2023-12-02 07:00:00+00:00,-3.7,4.3,3.0
2023-12-02 08:00:00+00:00,-3.0,5.6,30.0
2023-12-02 09:00:00+00:00,-2.5,9.0,51.0
2023-12-02 10:00:00+00:00,-2.0,9.3,84.0
2023-12-02 11:00:00+00:00,-1.9,11.5,59.0
2023-12-02 12:00:00+00:00,-1.3,12.8,87.0
2023-12-02 13:00:00+00:00,-1.8,13.6,65.0
2023-12-02 14:00:00+00:00,-2.1,11.2,21.0
2023-12-02 15:00:00+00:00,-2.2,12.2,2.0
2023-12-02 16:00:00+00:00,-2.1,10.7,0.0
2023-12-02 17:00:00+00:00,-2.1,13.2,0.0
2023-12-02 18:00:00+00:00,-2.2,13.2,0.0
2023-12-02 19:00:00+00:00,-2.4,16.5,0.0
2023-12-02 20:00:00+00:00,-2.6,12.2,0.0
2023-12-02 21:00:00+00:00,-2.8,15.8,0.0
2023-12-02 22:00:00+00:00,-2.9,15.0,0.0
2023-12-02 23:00:00+00:00,-3.1,16.1,0.0
2023-12-03 00:00:00+00:00,-3.2,15.3,0.0
2023-12-03 01:00:00+00:00,-2.6,16.1,0.0
2023-12-03 02:00:00+00:00,-2.8,14.0,0.0
2023-12-03 03:00:00+00:00,-2.7,12.3,0.0
2023-12-03 04:00:00+00:00,-2.4,12.1,0.0
2023-12-03 05:00:00+00:00,-2.2,12.9,0.0
2023-12-03 06:00:00+00:00,-2.7,10.4,0.0
2023-12-03 07:00:00+00:00,-2.6,10.8,5.0
2023-12-03 08:00:00+00:00,-1.7,10.5,33.0
2023-12-03 09:00:00+00:00,-1.1,9.2,76.0
2023-12-03 10:00:00+00:00,-0.5,10.2,92.0
2023-12-03 11:00:00+00:00,-0.1,13.4,95.0
2023-12-03 12:00:00+00:00,0.0,14.7,75.0
2023-12-03 13:00:00+00:00,-0.6,12.2,42.0
2023-12-03 14:00:00+00:00,-0.8,13.4,25.0
2023-12-03 15:00:00+00:00,-1.5,14.8,2.0
2023-12-03 16:00:00+00:00,-2.5,14.8,0.0
2023-12-03 17:00:00+00:00,-2.9,16.7,0.0
2023-12-03 18:00:00+00:00,-3.8,17.7,0.0
2023-12-03 19:00:00+00:00,-4.0,17.9,0.0
2023-12-03 20:00:00+00:00,-3.6,17.0,0.0
2023-12-03 21:00:00+00:00,-3.1,16.7,0.0
2023-12-03 22:00:00+00:00,-2.7,16.7,0.0
2023-12-04 00:00:00+00:00,-2.2,16.3,0.0
2023-12-04 01:00:00+00:00,-1.9,16.3,0.0
2023-12-04 02:00:00+00:00,-1.6,18.1,0.0
2023-12-04 03:00:00+00:00,-2.2,16.6,0.0
2023-12-04 04:00:00+00:00,-2.3,16.5,0.0
2023-12-04 05:00:00+00:00,-2.5,17.8,0.0
2023-12-04 06:00:00+00:00,-2.9,16.9,0.0
2023-12-04 07:00:00+00:00,-2.9,14.6,2.0
2023-12-04 08:00:00+00:00,-2.6,14.8,36.0
2023-12-04 09:00:00+00:00,-2.4,14.4,71.0
2023-12-04 10:00:00+00:00,-2.4,14.0,87.0
2023-12-04 11:00:00+00:00,-2.5,13.9,75.0
2023-12-04 12:00:00+00:00,-2.3,12.9,90.0
2023-12-04 13:00:00+00:00,-2.3,11.8,83.0
2023-12-04 14:00:00+00:00,-2.9,8.9,41.0
2023-12-04 15:00:00+00:00,-4.7,8.3,3.0
2023-12-04 16:00:00+00:00,-6.0,8.7,0.0
2023-12-04 17:00:00+00:00,-6.9,6.5,0.0
2023-12-04 18:00:00+00:00,-6.8,6.5,0.0
2023-12-04 19:00:00+00:00,-6.3,7.1,0.0
2023-12-04 20:00:00+00:00,-5.9,8.4,0.0
2023-12-04 21:00:00+00:00,-5.9,8.6,0.0
2023-12-04 22:00:00+00:00,-6.9,8.2,0.0
2023-12-04 23:00:00+00:00,-8.3,7.9,0.0
2023-12-05 00:00:00+00:00,-8.2,8.4,0.0
2023-12-05 01:00:00+00:00,-8.1,9.4,0.0
2023-12-05 02:00:00+00:00,-7.6,11.2,0.0
2023-12-05 03:00:00+00:00,-7.3,10.7,0.0
2023-12-05 04:00:00+00:00,-7.1,10.4,0.0
2023-12-05 05:00:00+00:00,-6.9,11.8,0.0
2023-12-05 06:00:00+00:00,-7.2,11.3,0.0
2023-12-05 07:00:00+00:00,-7.3,11.5,6.0
2023-12-05 08:00:00+00:00,-6.5,11.7,71.0
2023-12-05 09:00:00+00:00,-5.4,10.4,154.0
2023-12-05 10:00:00+00:00,-4.5,10.6,220.0
2023-12-05 11:00:00+00:00,-3.9,10.1,231.0
2023-12-05 12:00:00+00:00,-3.9,10.5,199.0
2023-12-05 13:00:00+00:00,-3.7,10.8,147.0
2023-12-05 14:00:00+00:00,-4.6,11.2,59.0
2023-12-05 15:00:00+00:00,-5.2,13.4,2.0
2023-12-05 16:00:00+00:00,-5.5,14.2,0.0
